linux:
alumno:seguridad	:15965:0:99999:7:::
usuario1:manzana	:15972:0:99999:7:::
usuario2:ajnaran	:15972:0:99999:7:::
usuario3:usuario3	:15972:0:99999:7:::
usuario4:37256		:15972:0:99999:7:::

windows:
Administrador:SEGURIDAD				:500:37D30D0608DEAF4C9C749B84168D712D:65A73C03A686313C7137B661A6EC739C:::
Asistente de ayuda:OP(3DHZ59BD0VJ		:1000:071A800059A7540E5043DFD3D73014D9:5DC10278C7D00CA0F8DA5989E57BD8AE:::
usuario1:MANZANA				:1004:0C9E2B846DE748BCAAD3B435B51404EE:C2C34D5CDF91477E0ECF5FB997508496:::
usuario2:AJNARAN				:1005:F080D91516905069AAD3B435B51404EE:E1516D529368ECC8B3E8731EF5B045EC:::
usuario3:USUARIO3				:1006:9DD154B80E7D08501AA818381E4E281B:8172A9597A8FD6C8FFF8BCD9D07D1D6E:::
usuario4:37256					:1007:0C7D3426BA14EEA2AAD3B435B51404EE:0E9C3CE9F4BF68FC090F1A9C24189A7F:::
usuario5:USUARIO35				:1008:9DD154B80E7D0850989F06D9775D9CEB:06866A7BB22DCD8D2739EB4D750E5CB5:::
usuario6:27TRG					:1009:9628799816FCE1C4AAD3B435B51404EE:EBE19DA9677D75C4F562AE48D7C1FCCC:::
usuario7:EULDLM23				:1010:BA4A1F760228E7DD1AA818381E4E281B:6AE2E0073A0FF7FD0CB3275D917F1C46:::
